Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
Portland St,108.75,22.0,,1348.5,565.75,4004.5,0.19525000000000003,1267.0,137.5,168.0,1739.25,167.75,47.0,343.75,44.5,1704.875,33.25,22.0,,
Portland,115.5,10.0,,1437.25,592.25,4088.75,0.20575,1358.75,183.25,258.75,1715.0,141.75,37.5,355.0,42.5,1835.5,20.25,10.0,,
Prairie View,111.0,33.0,,1257.0,700.75,3848.0,0.14,1160.5,128.0,156.25,1551.25,167.0,38.5,237.0,39.0,1502.5,40.75,33.0,,
Presbyterian,112.25,17.0,,1299.0,624.25,4013.75,0.16825,1198.0,165.25,198.5,1679.25,164.5,52.25,252.0,44.75,1642.5,67.0,17.0,,
Princeton,89.25,5.0,,1270.25,439.25,3215.5,0.2585,1192.5,110.0,141.5,1410.5,90.0,35.5,250.0,30.0,1540.75,24.25,5.0,,
Providence,114.5,5.0,,1357.25,643.25,3960.75,0.18050000000000002,1268.5,149.5,227.5,1657.75,177.75,36.5,334.5,50.75,1692.25,34.5,5.0,,
Purdue Fort Wayne,121.5,18.0,,1600.5,660.25,4514.25,0.20850000000000002,1504.75,129.75,248.25,1955.5,128.75,50.75,364.75,41.75,1963.375,39.75,18.0,,
Purdue,124.5,21.0,,1673.0,608.25,4079.5,0.262,1560.0,157.25,228.5,1709.25,137.75,73.25,459.5,74.25,2101.75,24.75,21.0,,
Quinnipiac,119.25,13.0,,1449.5,678.0,4163.0,0.18474999999999994,1358.0,167.5,202.75,1670.5,151.5,50.75,344.75,57.5,1840.125,44.5,13.0,,
Radford,104.0,7.0,,1346.5,549.25,3674.5,0.215,1245.75,161.75,177.75,1592.25,126.0,34.5,348.0,38.75,1691.0,28.5,7.0,,
Rhode Island,99.0,10.0,,1155.75,546.5,3399.0,0.1805,1080.25,138.0,223.25,1413.5,142.25,32.25,327.75,41.5,1449.625,35.25,10.0,,
Rice,117.5,3.0,,1632.75,568.25,4294.0,0.2485,1529.0,124.0,181.5,2002.0,118.25,76.0,399.25,51.25,2032.375,21.5,3.0,,
Rider,115.75,6.0,,1386.0,595.0,4030.25,0.19649999999999998,1299.5,170.75,209.0,1816.25,173.25,46.25,373.5,51.0,1789.75,29.5,6.0,,
Robert Morris,114.25,7.0,,1385.75,565.75,4122.75,0.19924999999999998,1278.25,178.75,221.5,1859.0,126.0,46.5,395.5,49.25,1808.75,46.0,7.0,,
Rutgers,108.5,13.0,,1141.0,616.5,3335.75,0.15649999999999997,1071.25,124.5,222.5,1196.5,213.5,33.25,425.25,59.25,1467.625,31.25,13.0,,
Sacramento St,128.75,13.0,,1679.75,673.25,4892.0,0.20475,1562.75,178.75,237.75,2128.75,162.5,61.25,438.0,52.5,2138.75,24.0,13.0,,
Sacred Heart,109.75,15.0,,1470.25,692.0,3929.25,0.19749999999999998,1354.75,162.5,223.0,1614.0,110.25,35.0,357.0,51.0,1846.25,35.25,15.0,,
Saint Francis,98.25,19.0,,1101.25,569.75,3579.25,0.14775,1029.5,113.0,193.75,1558.0,153.0,30.0,252.75,43.75,1363.125,41.75,19.0,,
Saint Louis,108.5,3.0,,1383.25,617.5,3671.5,0.20774999999999996,1293.75,167.0,275.75,1516.0,171.25,30.75,304.25,59.5,1733.125,22.0,3.0,,
Saint Mary's,106.75,21.0,,1296.0,535.75,3704.5,0.20449999999999996,1208.25,153.0,216.25,1464.0,154.5,44.0,407.25,59.5,1696.625,28.0,21.0,,
Saint Peter's,119.0,14.0,,1200.0,605.5,4206.0,0.1405,1119.0,153.5,221.0,1820.5,184.0,43.5,241.0,50.5,1471.5,31.0,13.0,,
Sam Houston St,118.25,33.0,,1550.0,663.75,4440.75,0.19874999999999993,1432.75,134.5,197.75,1956.75,121.75,43.25,388.25,39.25,1861.875,40.75,33.0,,
Samford,126.25,10.0,,1653.75,669.75,4545.75,0.21674999999999994,1550.0,167.0,266.0,1931.75,152.75,54.75,361.25,65.0,2056.125,39.0,10.0,,
San Diego St,118.75,12.0,,1554.0,711.5,3930.25,0.21524999999999997,1449.75,112.0,224.75,1558.5,148.0,39.5,435.25,70.25,1897.125,37.75,12.0,,
San Diego,108.75,11.0,,1567.75,591.0,3757.25,0.26049999999999995,1465.0,127.5,184.0,1535.5,120.25,60.0,330.75,45.75,1904.625,12.5,11.0,,
San Francisco,107.0,25.0,,1176.25,584.0,3664.5,0.16049999999999998,1096.5,127.0,213.5,1421.25,178.75,67.25,304.0,51.75,1492.5,32.0,25.0,,
San Jose St,108.0,18.0,,1391.75,656.5,3739.0,0.19675,1301.0,149.0,229.0,1508.25,143.25,36.5,362.25,42.75,1758.375,52.0,18.0,,
Santa Clara,114.5,15.0,,1447.75,602.25,4027.0,0.20924999999999996,1348.75,151.0,235.75,1733.5,158.75,36.25,441.5,57.25,1785.5,36.0,15.0,,
Savannah St,89.33333333333333,,,785.0,554.3333333333334,2665.0,0.08666666666666667,729.3333333333334,118.33333333333333,183.33333333333334,936.3333333333334,194.0,36.333333333333336,189.0,41.666666666666664,1034.1666666666667,48.666666666666664,,,
Seattle U,111.5,30.0,,1344.25,617.5,3808.25,0.19149999999999995,1265.0,154.25,261.25,1532.75,178.75,37.25,412.5,49.25,1714.375,22.0,30.0,,
Seton Hall,114.0,14.0,,1410.5,585.0,4028.0,0.20474999999999996,1311.0,116.0,170.75,1682.5,161.75,34.75,316.75,49.25,1719.625,34.5,14.0,,
SFA,116.0,26.0,,1479.5,487.5,4234.5,0.23375,1363.5,162.0,167.75,1987.0,106.5,45.0,505.75,46.25,1887.125,34.75,26.0,,
Siena,108.5,9.0,,1198.75,618.75,3693.5,0.15575,1109.0,145.0,228.75,1502.0,179.75,31.5,280.0,35.0,1515.25,52.0,9.0,,
SIUE,113.25,23.0,,1458.0,653.75,4212.5,0.19024999999999997,1361.75,137.25,197.0,1946.75,130.25,56.5,367.0,43.75,1792.5,41.5,23.0,,
SMU,113.75,22.0,,1536.25,622.25,4343.0,0.2107499999999999,1442.5,117.0,162.5,2005.0,111.75,41.25,417.25,42.0,1883.375,26.25,22.0,,
South Alabama,112.5,27.0,,1378.0,544.75,3765.5,0.22,1258.0,142.25,208.25,1583.25,130.0,66.0,340.5,27.75,1756.5,44.5,27.0,,
South Carolina St,84.33333333333333,8.0,,697.6666666666666,534.0,2423.0,0.06666666666666667,637.0,109.33333333333333,191.66666666666666,886.0,196.66666666666666,33.0,136.33333333333334,37.0,890.1666666666666,33.666666666666664,8.0,,
South Carolina,112.0,6.0,,1414.75,529.0,3656.5,0.24225,1307.75,142.75,255.5,1471.5,159.75,65.5,356.25,58.25,1801.125,31.75,6.0,,
South Dakota St,100.25,20.0,,1111.75,583.25,3491.0,0.15050000000000002,1040.75,109.25,160.5,1418.5,164.0,45.75,243.5,49.75,1388.5,33.25,20.0,,
South Dakota,112.0,30.0,,1538.25,561.0,4218.75,0.23124999999999998,1440.25,156.25,187.75,1989.75,115.25,40.25,336.75,50.25,1859.875,27.25,30.0,,
South Fla,116.75,22.0,,1468.5,571.75,4195.0,0.21224999999999997,1390.5,137.5,170.0,1876.5,148.25,51.0,382.0,56.25,1830.625,40.25,22.0,,
Southeast Mo,118.25,11.0,,1434.25,604.25,4236.0,0.19574999999999998,1329.5,159.25,186.5,1886.0,158.75,62.5,361.75,39.75,1836.875,38.5,11.0,,
Southeastern La,110.25,26.0,,1246.25,636.0,3796.25,0.15875,1159.0,119.0,214.25,1552.5,182.0,49.25,251.75,35.25,1517.375,59.75,26.0,,
Southern California,128.5,24.0,,1764.25,645.5,4568.5,0.24475,1639.25,159.0,273.25,1891.0,130.75,52.5,481.75,76.5,2216.625,28.25,24.0,,
Southern Ill,118.25,20.0,,1418.75,628.5,4279.25,0.1835,1337.75,132.0,201.75,1898.75,169.75,44.0,365.25,52.25,1777.375,34.0,20.0,,
Southern Miss,114.5,7.0,,1530.25,653.0,4054.75,0.2155,1421.5,134.25,193.75,1670.5,130.75,67.0,339.0,50.0,1882.5,27.75,7.0,,
Southern Utah,110.75,25.0,,1283.25,568.5,3947.0,0.17974999999999997,1203.75,126.25,203.25,1618.5,154.25,35.25,385.0,47.75,1609.5,41.5,25.0,,
Southern U,106.5,25.0,,1085.25,621.5,3563.75,0.12975,972.0,134.0,186.75,1431.5,170.0,64.5,300.5,40.75,1424.5,36.5,25.0,,
Stanford,122.25,11.0,,1780.0,528.5,4181.0,0.3005,1673.25,157.25,266.75,1707.75,96.75,46.0,682.75,78.25,2324.625,11.0,11.0,,
Stetson,103.0,25.0,,1155.0,498.75,3579.0,0.1825,1072.75,117.5,134.5,1597.25,158.25,59.25,306.75,56.75,1485.125,50.25,25.0,,
Stony Brook,108.0,13.0,,1364.75,545.75,3839.75,0.2124999999999999,1270.0,131.25,198.5,1640.75,159.0,44.75,271.0,34.25,1634.0,22.75,13.0,,
St,116.125,16.5,,1414.75,625.625,3950.75,0.198,1320.75,162.5,203.375,1632.125,175.0,49.375,399.25,63.125,1792.625,38.875,16.5,,
Syracuse,111.5,15.0,,1377.0,553.75,3706.5,0.22324999999999995,1300.75,119.25,229.0,1571.75,129.25,67.75,479.0,102.0,1803.5,30.0,15.0,,
TCU,107.75,5.0,,1391.75,599.75,3849.25,0.20599999999999996,1305.75,126.25,222.5,1585.5,109.5,30.5,401.0,72.5,1737.0,31.75,5.0,,
Temple,109.0,8.0,,1439.5,550.75,3969.75,0.22349999999999998,1360.0,117.75,193.75,1745.0,118.25,40.25,364.5,43.0,1741.25,37.25,8.0,,
Tennessee St,113.0,12.0,,1303.0,612.5,3876.25,0.17774999999999996,1216.25,116.0,188.0,1700.0,151.25,43.5,341.0,64.5,1600.875,43.5,12.0,,
Tennessee Tech,107.5,13.0,,1265.5,646.25,3972.25,0.15525,1178.25,117.75,193.0,1715.0,134.0,49.5,265.75,45.5,1538.625,34.0,13.0,,
Tennessee,111.5,21.0,,1512.25,559.5,3937.75,0.24175,1392.75,120.5,221.0,1651.75,112.0,42.0,431.75,46.25,1875.125,26.25,21.0,,
Texas A&M,109.75,4.0,,1486.0,604.75,3768.75,0.23175,1376.25,141.5,226.5,1549.0,114.0,46.0,416.75,56.75,1866.25,24.5,4.0,,
Texas Southern,110.25,18.0,,1260.75,628.75,3657.25,0.17374999999999996,1155.5,152.25,202.75,1485.0,162.5,50.75,323.25,36.25,1625.375,38.75,18.0,,
Texas St,122.75,20.0,,1651.75,666.0,4331.0,0.22849999999999995,1553.75,161.0,244.5,1895.75,127.25,46.75,441.0,57.5,2080.0,26.0,20.0,,
Texas Tech,115.75,4.0,,1495.0,614.0,4132.0,0.21299999999999997,1396.25,120.0,205.5,1719.75,127.25,54.75,366.5,41.0,1817.25,31.0,4.0,,
Texas,106.25,2.0,,1486.25,388.75,3498.0,0.31425,1387.5,121.0,267.5,1482.25,102.0,42.25,495.0,61.25,1897.0,14.5,2.0,,
The Citadel,120.5,9.0,,1373.75,709.5,4229.0,0.15725,1253.25,162.25,249.0,1753.5,180.5,45.0,296.5,56.5,1729.25,39.0,9.0,,
Toledo,111.5,21.0,,1325.25,590.0,4011.5,0.18299999999999994,1242.5,136.25,207.25,1803.5,157.0,67.5,307.0,46.0,1657.0,47.25,21.0,,
Towson,119.25,9.0,,1676.0,637.75,4357.5,0.23949999999999996,1574.0,163.5,222.25,1969.0,123.0,34.5,430.0,41.5,2089.0,47.0,9.0,,
Troy,120.75,29.0,,1513.75,779.25,4179.75,0.17525,1408.25,163.5,299.75,1634.5,150.0,55.5,323.5,29.25,1847.0,26.5,29.0,,
Tulane,133.0,10.0,,1751.5,698.5,4836.75,0.21724999999999997,1654.5,174.25,246.75,2120.5,152.5,48.5,483.75,61.0,2216.125,42.25,10.0,,
Tulsa,124.0,26.0,,1585.5,678.75,4819.0,0.18849999999999995,1478.0,133.75,229.75,2193.5,131.75,63.0,375.0,60.25,1953.5,45.5,26.0,,
UAB,105.5,8.0,,1321.25,571.5,3695.0,0.20299999999999999,1230.75,145.75,232.0,1499.75,149.25,53.25,320.25,59.0,1663.875,23.25,8.0,,
UC Davis,110.0,17.0,,1433.75,595.0,3893.0,0.216,1342.75,139.5,219.0,1651.5,123.0,40.75,379.75,51.0,1790.875,34.0,17.0,,
UC Irvine,111.0,24.0,,1413.0,583.5,3819.0,0.21599999999999997,1312.75,151.0,230.5,1586.25,159.75,44.5,311.5,45.75,1736.25,25.25,24.0,,
