Team,S,MP,MS,Kills,Errors,Total Attacks,Hit Pct,Assists,Aces,SErr,Digs,RErr,Block Solos,Block Assists,BErr,PTS,BHE,Trpl Dbl,Attend,MP.1
A&M-Corpus Christi,113.25,27.0,,1481.0,575.25,4078.25,0.22149999999999995,1383.75,143.0,220.75,1792.75,152.75,40.25,266.25,33.5,1783.875,35.0,27.0,,
Abilene Christian,109.33333333333333,23.0,,1290.3333333333333,579.0,3911.3333333333335,0.18266666666666667,1195.6666666666667,122.66666666666667,176.33333333333334,1627.3333333333333,152.0,31.333333333333332,438.0,38.0,1614.1666666666667,20.666666666666668,23.0,,
Air Force,120.75,26.0,,1476.25,754.0,4098.5,0.17525000000000002,1394.5,166.25,285.25,1608.75,149.25,47.0,372.25,58.25,1840.375,48.0,26.0,,
Akron,103.5,22.0,,1291.5,577.0,3677.5,0.194,1192.0,147.5,221.75,1493.5,141.0,41.5,267.0,32.25,1575.75,26.0,22.0,,
Alabama A&M,120.5,28.0,,1332.75,608.75,3737.0,0.19274999999999998,1219.75,160.5,153.5,1599.0,216.75,82.5,293.5,63.0,1689.75,42.0,28.0,,
Alabama St,134.0,28.0,,1602.0,732.5,4262.0,0.20425000000000001,1461.25,195.75,217.0,1773.0,209.25,77.25,350.5,38.75,2016.375,53.5,28.0,,
Alabama,116.75,19.0,,1463.25,614.25,4085.5,0.20774999999999993,1356.75,139.5,212.0,1725.5,125.5,82.75,351.5,56.25,1815.25,38.0,19.0,,
Albany,97.5,12.0,,1153.75,511.5,3424.25,0.18774999999999992,1065.5,120.25,149.5,1508.25,128.0,48.5,344.75,50.25,1441.375,21.0,12.0,,
Alcorn,109.5,22.0,,961.25,699.25,3404.75,0.07625000000000001,873.75,169.25,241.0,1304.0,225.5,33.5,163.5,27.5,1245.75,91.5,22.0,,
American,120.25,22.0,,1575.5,515.25,4022.25,0.2635,1446.25,187.75,257.0,1733.0,137.25,60.75,427.0,52.5,2016.875,28.0,22.0,,
Appalachian St,120.0,18.0,,1523.75,689.0,4363.5,0.19174999999999998,1418.25,138.5,219.75,1798.25,135.25,66.25,265.75,49.0,1861.375,25.0,18.0,,
Arizona St,118.5,17.0,,1498.5,647.75,4217.0,0.20149999999999996,1414.25,115.75,241.5,1827.75,127.25,86.5,296.75,41.5,1849.125,26.25,17.0,,
Arizona,121.0,21.0,,1612.0,643.75,4275.0,0.22574999999999995,1485.0,125.25,249.75,1807.0,134.0,74.5,362.0,47.0,1992.75,17.0,21.0,,
Arkansas St,119.75,23.0,,1610.0,662.75,4352.5,0.21749999999999997,1490.25,154.75,217.0,1844.75,103.0,90.25,297.75,38.5,1973.875,40.5,23.0,,
Arkansas,110.5,3.0,,1405.75,610.5,3848.0,0.20625,1329.5,131.25,243.0,1537.25,137.5,34.0,374.75,37.5,1758.375,32.0,3.0,,
Ark,106.0,28.0,,1071.5,600.0,3573.25,0.1285,975.25,151.5,192.75,1415.25,186.25,64.5,222.25,44.75,1391.375,34.5,28.0,,
Army West Point,113.25,24.0,,1533.25,609.25,4100.25,0.22649999999999998,1421.75,147.5,227.75,1803.0,136.0,60.75,341.5,49.0,1866.0,23.0,24.0,,
Auburn,108.25,15.0,,1385.75,606.75,3931.25,0.19774999999999998,1291.75,133.75,267.5,1597.25,108.75,50.75,281.0,49.25,1682.75,40.75,15.0,,
Austin Peay,124.5,13.0,,1670.5,668.25,4548.75,0.21974999999999997,1561.0,169.25,186.0,2052.5,137.25,80.75,296.5,54.75,2044.5,31.0,13.0,,
Ball St,122.5,27.0,,1594.0,630.5,4515.5,0.21349999999999997,1477.75,150.5,184.0,2022.25,139.75,79.75,342.25,60.0,1987.125,31.25,27.0,,
Baylor,116.0,5.0,,1618.5,603.25,4087.0,0.2515,1517.75,128.5,220.5,1772.0,110.5,36.25,470.25,56.5,1992.875,40.0,5.0,,
Belmont,108.5,22.0,,1276.5,644.25,3791.25,0.16649999999999998,1189.25,147.0,292.75,1499.25,137.75,23.25,326.5,50.5,1568.25,44.5,22.0,,
Bethune-Cookman,110.5,10.0,,1250.5,583.5,3825.25,0.17525,1172.75,109.25,150.25,1763.0,159.25,63.75,337.0,50.75,1572.25,49.5,10.0,,
Binghamton,91.25,14.0,,1051.5,513.5,3168.25,0.16499999999999998,964.75,122.75,197.0,1285.75,145.25,35.25,247.5,24.25,1324.5,39.0,14.0,,
Boise St,111.75,22.0,,1495.25,589.75,3982.25,0.22675,1399.25,151.0,208.5,1637.5,127.25,42.75,490.0,65.25,1915.0,27.5,22.0,,
Boston College,117.0,8.0,,1449.25,656.0,4055.0,0.19475,1362.5,140.25,183.0,1637.75,122.25,48.25,343.25,51.5,1777.625,40.75,8.0,,
Bowling Green,116.5,27.0,,1493.5,565.5,4526.5,0.20625,1389.75,156.25,223.75,2145.0,128.25,56.25,365.0,34.5,1845.0,32.5,27.0,,
Bradley,116.75,8.0,,1504.5,628.25,4588.0,0.18924999999999997,1415.5,127.75,180.5,2133.0,120.5,34.75,354.25,44.0,1815.625,42.5,8.0,,
Brown,93.0,5.0,,1114.75,482.25,3315.0,0.19149999999999998,1034.5,120.5,171.0,1375.25,132.75,35.25,308.0,37.25,1424.5,56.5,5.0,,
Bryant,124.75,10.0,,1643.25,777.5,4612.5,0.18749999999999994,1526.75,167.75,193.0,1957.75,137.5,32.25,368.5,47.0,1996.75,58.0,10.0,,
Bucknell,102.75,21.0,,1196.25,559.0,3593.25,0.1775,1112.25,128.25,177.0,1572.75,132.25,49.75,331.25,44.5,1539.875,38.0,21.0,,
Buffalo,112.0,27.0,,1394.25,601.0,3734.5,0.21149999999999997,1307.5,132.0,208.5,1554.0,164.75,69.5,312.25,61.0,1705.375,29.75,27.0,,
Butler,117.5,18.0,,1502.5,598.25,4212.75,0.21225,1388.0,136.75,240.75,1774.75,141.0,45.5,504.5,53.75,1915.25,31.75,18.0,,
BYU,113.5,24.0,,1559.5,492.5,3760.5,0.284,1447.0,155.75,180.5,1516.75,101.0,39.0,546.75,55.5,2027.625,17.25,24.0,,
Cal Poly,101.5,8.0,,1403.0,477.75,3480.25,0.26675,1315.5,150.5,182.25,1477.0,99.0,49.5,323.25,33.75,1764.625,18.5,8.0,,
Cal St,102.5,24.0,,1138.25,579.75,3649.25,0.15275,1063.75,107.25,142.5,1596.75,155.75,42.0,273.0,54.0,1391.75,41.5,24.0,,
California,111.5,26.0,,1455.5,578.0,3823.25,0.22999999999999993,1368.0,119.75,199.75,1601.5,133.5,60.75,304.0,51.75,1769.5,58.75,26.0,,
Campbell,109.0,8.0,,1354.0,632.25,3865.75,0.1855,1245.75,162.5,202.25,1724.25,160.0,39.0,295.0,43.25,1703.0,27.5,8.0,,
Canisius,106.25,15.0,,1287.75,560.25,3779.5,0.19125,1173.0,148.25,209.25,1651.75,169.0,29.25,331.0,40.5,1630.75,24.5,15.0,,
Central Ark,118.75,23.0,,1575.75,651.25,4095.75,0.22574999999999995,1465.5,163.0,218.25,1719.5,134.0,54.75,387.0,49.75,1987.0,18.75,23.0,,
Central Conn,107.5,17.0,,1311.0,538.25,3897.0,0.19774999999999998,1231.5,137.75,159.0,1721.75,122.25,52.25,428.0,45.25,1715.0,41.25,17.0,,
Central Mich,108.75,26.0,,1384.5,624.0,3953.0,0.1925,1302.25,129.0,204.5,1688.0,133.75,56.5,277.25,48.75,1663.125,21.5,26.0,,
Charleston So,110.75,21.0,,1252.25,589.0,4010.0,0.16625,1157.5,140.25,198.0,1771.0,143.5,54.0,354.5,37.75,1599.25,47.0,21.0,,
Charlotte,115.75,10.0,,1373.0,501.25,4174.75,0.20849999999999996,1283.0,132.25,185.5,1895.5,132.25,77.75,469.5,85.0,1807.0,49.75,10.0,,
Chattanooga,114.75,24.0,,1362.25,623.25,4078.5,0.181,1274.75,158.25,234.25,1790.5,151.5,48.0,294.25,40.25,1703.875,51.0,24.0,,
Chicago St,114.0,28.0,,1332.5,750.75,4198.0,0.13699999999999996,1253.5,132.0,159.5,1715.25,137.0,40.0,302.25,54.5,1625.125,30.25,28.0,,
Cincinnati,123.5,20.0,,1703.0,634.25,4350.75,0.24574999999999997,1595.75,161.25,257.0,1830.75,106.75,50.25,381.0,43.75,2105.0,44.0,20.0,,
Clemson,115.75,6.0,,1381.25,667.5,3794.0,0.18624999999999994,1290.5,135.25,215.0,1424.5,146.0,51.25,354.75,51.75,1745.125,39.25,6.0,,
Cleveland St,114.25,4.0,,1498.5,585.5,4156.0,0.22,1411.75,119.25,187.25,1879.5,119.5,54.5,441.5,62.25,1893.0,19.25,4.0,,
Coastal Carolina,114.0,25.0,,1531.0,496.0,3725.5,0.278,1428.0,200.0,271.5,1538.5,111.5,97.5,319.0,44.0,1909.0,28.5,25.0,,
Coastal Caro,99.5,,,1280.5,508.0,3493.5,0.22,1204.0,118.0,221.5,1525.0,107.0,90.0,270.0,35.5,1623.5,21.0,,,
Colgate,109.0,9.0,,1426.75,539.5,3903.0,0.22724999999999998,1315.5,147.25,187.0,1708.5,126.0,69.25,327.75,49.75,1745.375,31.5,9.0,,
Colorado St,112.25,22.0,,1532.0,511.0,3574.0,0.2855,1437.5,167.0,275.25,1426.25,123.0,66.75,531.5,50.5,2031.5,17.75,22.0,,
Colorado,120.0,26.0,,1561.0,595.75,4155.25,0.23124999999999998,1452.0,116.0,191.0,1700.5,134.0,48.5,487.5,62.5,1928.5,18.0,26.0,,
Columbia,89.0,3.0,,1119.75,468.0,3077.75,0.21175,1043.25,125.0,198.0,1311.75,112.75,44.25,281.5,43.75,1429.75,39.5,3.0,,
Col,116.5,7.0,,1573.25,647.0,4287.75,0.21299999999999997,1479.25,123.25,131.0,1906.75,130.5,59.0,357.25,64.5,1934.125,32.25,7.0,,
Coppin St,106.25,2.0,,1101.75,619.75,3399.5,0.139,1017.5,140.5,251.25,1359.75,178.5,39.5,227.0,51.5,1384.0,42.5,2.0,,
Cornell,91.25,18.0,,1209.25,488.75,3363.25,0.21599999999999997,1135.75,123.75,201.75,1450.25,124.75,34.0,315.75,30.75,1524.875,34.0,18.0,,
Creighton,117.75,7.0,,1685.25,561.75,4228.25,0.26525,1561.75,178.75,251.25,1884.25,109.75,48.25,417.75,67.5,2121.125,30.0,7.0,,
CSU Bakersfield,116.75,22.0,,1445.0,698.25,4221.25,0.17649999999999996,1351.25,167.5,216.0,1770.0,153.25,32.5,394.5,46.0,1842.25,30.0,22.0,,
CSUN,107.75,17.0,,1331.0,576.25,3654.5,0.20675,1237.75,136.5,202.5,1472.5,164.0,59.75,285.75,41.75,1670.125,34.5,17.0,,
Dartmouth,88.25,14.0,,1007.5,466.75,3149.25,0.17174999999999996,921.75,103.5,157.25,1339.5,113.5,45.75,315.5,26.75,1314.5,34.5,14.0,,
Davidson,103.25,5.0,,1183.25,514.75,3561.75,0.1885,1109.0,129.0,162.75,1495.0,164.0,56.75,321.75,42.5,1529.875,39.25,5.0,,
Dayton,113.25,17.0,,1562.0,536.0,3885.25,0.26375,1441.75,166.5,238.0,1608.0,112.0,34.5,472.25,63.0,1958.625,42.0,17.0,,
Delaware St,99.5,5.0,,939.0,602.0,3036.5,0.10575,865.0,139.0,207.0,1155.25,201.25,33.0,201.75,53.5,1169.75,37.25,5.0,,
Delaware,107.5,13.0,,1303.5,594.75,3867.25,0.1825,1218.5,134.75,201.5,1617.0,150.0,33.5,338.75,35.25,1624.375,52.25,13.0,,
Denver,111.25,26.0,,1497.75,540.25,3806.75,0.25149999999999995,1400.0,185.0,236.5,1607.75,103.5,35.0,440.75,49.5,1912.125,36.75,26.0,,
DePaul,111.5,17.0,,1405.75,637.5,3894.25,0.19599999999999995,1315.25,132.5,180.5,1556.75,183.5,53.0,273.75,34.0,1728.125,31.25,17.0,,
Drake,123.0,7.0,,1562.25,646.75,4816.25,0.19,1469.75,135.5,187.25,2184.25,147.25,33.0,427.75,32.25,1944.625,26.25,7.0,,
Duke,114.75,22.0,,1536.25,606.5,4220.25,0.22024999999999997,1439.5,111.5,203.5,1774.75,106.75,36.5,478.75,38.0,1908.125,44.5,22.0,,
Duquesne,104.75,9.0,,1268.75,570.25,3694.0,0.18874999999999997,1204.5,130.0,163.75,1654.0,166.0,38.5,283.5,42.5,1540.25,22.5,9.0,,
East Carolina,112.25,12.0,,1430.25,581.25,3979.25,0.21225,1330.75,121.0,175.0,1765.0,136.25,56.5,352.0,53.25,1748.75,36.75,12.0,,
Eastern Ill,112.0,7.0,,1268.5,579.75,4110.25,0.166,1181.25,131.0,185.0,1778.75,163.5,37.0,397.0,47.75,1635.0,50.5,7.0,,
Eastern Ky,112.0,9.0,,1346.0,694.25,4090.75,0.15825,1235.0,111.75,181.0,1708.5,123.25,55.0,291.0,46.0,1658.25,48.0,9.0,,
Eastern Mich,118.5,23.0,,1555.25,659.5,4400.75,0.20249999999999996,1459.25,136.0,206.25,1992.75,159.0,50.75,384.5,30.25,1906.5,32.5,23.0,,
Eastern Wash,102.75,22.0,,1198.25,628.5,3774.0,0.1515,1117.25,120.25,203.5,1625.75,155.0,40.75,260.5,40.75,1459.625,31.0,22.0,,
Elon,120.75,12.0,,1516.5,710.75,4428.5,0.181,1418.0,146.25,181.25,1862.0,148.0,42.75,381.0,51.5,1896.0,51.25,12.0,,
ETSU,117.0,24.0,,1581.5,579.25,4202.25,0.23825,1474.25,156.75,249.25,1778.5,113.5,56.0,419.25,86.25,1953.875,27.0,24.0,,
Evansville,116.25,8.0,,1359.25,682.5,4212.5,0.15949999999999998,1269.0,131.25,194.25,1805.25,137.75,33.25,338.25,50.25,1692.875,32.5,8.0,,
Fairfield,111.5,9.0,,1498.75,660.0,4029.25,0.20749999999999996,1422.5,151.0,178.75,1810.5,128.5,46.5,342.0,60.75,1837.75,44.5,9.0,,
Fairleigh Dickinson,103.25,9.0,,997.75,556.5,3634.0,0.121,928.25,101.5,114.0,1613.75,190.0,43.5,300.5,45.25,1257.75,34.0,9.0,,
FGCU,113.75,28.0,,1549.5,508.75,3978.25,0.2615,1458.5,153.0,221.0,1747.5,106.5,63.0,431.75,30.75,1962.375,19.5,28.0,,
FIU,100.5,18.0,,1225.75,559.25,3466.75,0.192,1138.75,120.25,164.5,1415.5,131.75,49.25,326.25,43.5,1523.125,39.0,18.0,,
Fla,102.5,6.0,,1475.5,567.75,3619.25,0.2515,1397.5,148.5,207.25,1526.25,116.25,57.5,285.25,39.0,1824.125,20.0,6.0,,
Florida A&M,101.75,9.0,,1168.0,540.0,3452.5,0.1825,1078.5,155.0,173.75,1453.0,128.0,52.25,260.25,49.5,1470.375,59.0,8.0,,
Florida St,112.25,6.0,,1468.0,510.0,3849.75,0.24874999999999997,1378.25,108.0,138.75,1715.75,125.25,56.0,520.0,56.0,1892.0,38.5,6.0,,
Florida,115.25,5.0,,1560.0,479.75,3753.75,0.2895,1458.25,157.25,241.75,1646.75,98.25,58.5,509.0,59.75,1997.25,33.25,5.0,,
Fordham,105.75,9.0,,1245.5,573.75,3678.5,0.18274999999999997,1158.75,152.0,204.75,1610.25,156.0,26.5,322.5,51.5,1553.0,51.0,9.0,,
Fresno St,113.75,9.0,,1408.75,644.0,3816.5,0.19874999999999998,1326.5,171.0,223.0,1548.5,148.5,61.75,411.75,49.25,1847.375,18.0,9.0,,
Furman,112.0,13.0,,1432.25,613.25,4116.25,0.199,1334.75,125.25,165.0,1874.0,151.25,69.75,275.0,58.75,1726.0,43.25,13.0,,
Gardner-Webb,105.5,19.0,,1122.5,644.5,3666.0,0.12824999999999998,1050.75,128.5,171.5,1509.0,169.0,59.25,332.0,47.5,1476.25,53.0,19.0,,
Ga,113.0,23.0,,1282.75,615.0,3778.5,0.177,1198.25,138.0,207.0,1609.5,171.25,55.5,349.25,41.0,1650.875,47.0,23.0,,
George Mason,97.75,19.0,,1114.75,586.0,3392.5,0.15575,1043.75,113.0,156.5,1419.5,148.25,32.75,301.75,58.5,1397.25,48.75,19.0,,
George Washington,107.75,19.0,,1269.25,624.0,3679.5,0.17599999999999996,1163.75,138.5,199.25,1525.25,170.75,41.0,385.75,58.0,1614.25,34.5,19.0,,
Georgetown,116.75,6.0,,1424.5,654.5,3983.5,0.19374999999999998,1331.5,161.75,292.5,1579.0,159.5,41.0,291.5,37.5,1773.0,38.25,6.0,,
Georgia St,104.75,12.0,,1211.75,624.25,3726.5,0.15725,1130.75,138.25,215.75,1569.5,153.75,50.25,309.0,49.75,1521.25,44.5,12.0,,
Georgia Tech,120.75,22.0,,1615.25,613.5,4191.75,0.23924999999999996,1515.0,140.25,175.0,1777.5,152.25,62.0,356.25,51.5,1995.625,30.0,22.0,,
Georgia,113.75,18.0,,1516.25,626.0,3921.0,0.22699999999999995,1423.75,166.75,266.5,1582.0,139.25,27.0,357.25,49.5,1888.625,21.0,18.0,,
Gonzaga,110.25,25.0,,1330.75,584.0,3843.0,0.19424999999999995,1248.5,131.75,188.5,1572.25,143.0,53.5,360.0,42.0,1682.75,33.75,25.0,,
Grambling,119.0,26.0,,1180.5,711.25,3885.0,0.11974999999999997,1083.0,136.0,157.75,1587.75,194.25,57.5,349.25,38.25,1542.375,62.75,25.0,,
Grand Canyon,107.66666666666667,30.0,,1320.3333333333333,546.0,3840.3333333333335,0.20033333333333334,1240.3333333333333,143.0,191.0,1712.3333333333333,123.0,55.666666666666664,345.6666666666667,53.0,1620.5,37.0,30.0,,
Green Bay,115.5,3.0,,1555.5,628.5,4327.25,0.21475,1465.5,121.75,201.25,1912.0,124.25,32.0,434.75,43.75,1926.625,8.75,3.0,,
Hampton,95.75,10.0,,1085.25,580.75,3042.5,0.16575,1004.0,129.75,215.0,1161.0,187.25,36.75,271.75,46.0,1387.625,47.25,10.0,,
Hartford,96.75,25.0,,1128.25,511.25,3156.0,0.195,1043.75,135.0,212.75,1261.0,155.25,48.5,288.25,45.5,1427.125,25.75,25.0,,
Harvard,89.25,3.0,,1078.0,468.5,3011.75,0.20274999999999999,1008.5,114.5,160.5,1235.0,141.5,44.5,289.75,35.0,1381.875,27.75,3.0,,
Hawaii,105.75,24.0,,1443.0,509.75,3783.75,0.247,1343.25,148.5,228.5,1619.5,91.0,50.0,412.0,49.5,1829.25,15.25,24.0,,
High Point,116.0,20.0,,1526.25,621.25,4080.25,0.22274999999999998,1429.75,188.25,241.0,1782.5,139.75,54.5,374.25,49.25,1924.125,39.0,20.0,,
Hofstra,119.5,20.0,,1605.0,626.5,4199.75,0.23249999999999998,1499.0,187.0,273.25,1711.0,138.75,35.25,422.0,46.5,2019.75,41.0,20.0,,
Holy Cross,105.0,20.0,,1174.5,603.25,3800.0,0.15075000000000002,1089.0,146.0,220.5,1645.0,159.75,45.5,236.75,30.25,1484.375,36.5,20.0,,
Houston Baptist,122.0,28.0,,1587.5,680.25,4479.75,0.20249999999999996,1477.5,176.5,240.0,2045.0,140.75,42.0,440.25,45.25,1980.75,52.25,28.0,,
Houston,121.75,22.0,,1503.0,698.0,4548.5,0.17675000000000002,1405.0,167.25,245.5,1917.0,128.5,68.0,334.75,49.75,1845.875,58.25,22.0,,
Howard,114.5,8.0,,1454.25,622.5,3852.5,0.21624999999999997,1340.75,156.5,308.5,1620.25,117.75,44.75,334.0,57.0,1812.25,26.25,6.0,,
Idaho St,118.25,27.0,,1468.25,627.0,4322.0,0.19424999999999998,1380.25,144.75,166.25,1875.5,167.0,43.0,391.75,41.75,1798.875,27.75,27.0,,
Idaho,116.25,21.0,,1488.0,518.0,4117.5,0.23624999999999996,1382.25,126.5,215.25,1767.25,148.75,51.5,457.5,46.25,1839.25,54.25,21.0,,
Illinois St,124.0,11.0,,1713.5,652.75,4700.25,0.22649999999999995,1601.25,152.5,232.0,2193.0,117.0,44.75,413.5,48.0,2117.5,37.75,11.0,,
Illinois,122.25,21.0,,1653.75,579.5,4122.5,0.26,1549.25,162.0,241.25,1661.25,123.5,45.5,552.25,55.0,2118.375,15.5,21.0,,
Incarnate Word,95.0,,,1105.5,490.5,3253.5,0.188,1042.0,115.0,223.5,1397.0,135.0,44.5,272.5,25.5,1401.25,53.0,,,
Indiana St,111.75,15.0,,1335.0,591.0,4119.0,0.18024999999999997,1247.0,109.25,159.5,1850.0,140.75,41.0,350.0,46.75,1660.25,43.75,15.0,,
Indiana,118.0,25.0,,1482.25,640.5,3947.75,0.215,1375.25,145.25,260.25,1507.75,140.75,81.25,332.75,43.5,1812.125,33.5,25.0,,
Iona,112.25,20.0,,1334.75,666.5,3972.5,0.1675,1259.5,176.25,284.75,1626.0,165.0,50.0,292.25,38.5,1679.875,47.5,20.0,,
Iowa St,110.5,6.0,,1525.75,545.0,4031.75,0.24275,1421.0,129.25,242.75,1807.25,114.5,45.75,445.75,60.75,1908.625,40.25,6.0,,
Iowa,115.25,27.0,,1491.75,586.75,3899.5,0.23249999999999998,1397.25,119.75,214.5,1638.5,136.25,42.75,355.25,33.0,1788.625,17.5,27.0,,
IUPUI,114.25,13.0,,1348.5,609.0,4274.0,0.17275000000000001,1257.75,128.0,211.25,1878.0,147.0,55.5,392.75,41.0,1693.375,38.5,13.0,,
Jackson St,122.5,30.0,,1314.5,776.5,4068.25,0.13,1208.25,137.25,189.0,1590.0,193.5,75.5,263.0,42.75,1608.25,59.0,30.0,,
Jacksonville St,127.25,17.0,,1605.75,684.5,4334.5,0.2135,1496.75,124.25,158.25,1789.0,163.25,74.25,413.25,75.25,1980.375,34.25,17.0,,
Jacksonville,107.75,23.0,,1299.25,601.75,3810.25,0.182,1209.25,128.75,227.75,1598.0,152.75,55.25,278.0,41.25,1622.25,40.5,23.0,,
James Madison,108.75,20.0,,1414.0,513.5,3842.5,0.23449999999999996,1301.75,134.25,218.0,1701.5,104.0,46.5,504.25,50.25,1812.375,47.0,20.0,,
Kansas City,106.0,26.0,,1426.0,527.5,3700.0,0.24349999999999994,1332.0,142.0,213.5,1536.0,129.5,43.5,354.5,60.5,1788.75,26.5,26.0,,
Kansas St,111.5,6.0,,1444.75,539.5,3982.0,0.22749999999999998,1355.75,131.25,232.25,1655.75,120.5,32.25,423.0,53.0,1788.25,30.75,6.0,,
Kansas,109.5,5.0,,1408.0,560.25,3769.0,0.22199999999999998,1317.75,106.5,207.5,1590.0,110.25,38.25,458.75,43.75,1769.125,19.0,5.0,,
Kennesaw St,108.75,25.0,,1487.75,594.75,3819.75,0.23374999999999999,1392.75,164.0,254.25,1635.5,110.5,52.5,356.25,47.25,1882.375,29.25,25.0,,
Kent St,111.0,21.0,,1390.75,600.0,4181.75,0.18724999999999994,1318.25,121.5,204.5,1948.25,128.25,61.75,268.0,35.0,1708.0,49.75,21.0,,
Kentucky,112.0,7.0,,1628.25,504.5,3900.0,0.28775,1496.25,144.0,248.75,1604.0,93.75,46.0,454.25,61.0,2045.375,19.0,7.0,,
La Salle,110.75,7.0,,1434.0,607.5,4019.25,0.20500000000000002,1348.5,162.25,287.5,1722.75,133.0,39.25,250.75,36.5,1704.375,33.5,7.0,,
Lafayette,104.0,19.0,,1097.25,584.5,3526.25,0.14175000000000001,1016.0,145.0,214.0,1401.0,188.25,33.75,231.0,31.0,1382.25,20.5,18.0,,
Lamar University,98.25,25.0,,1157.5,595.5,3321.5,0.16899999999999998,1088.25,118.75,206.75,1290.0,142.0,32.25,249.25,30.25,1420.125,43.5,25.0,,
La,113.5,30.0,,1245.0,618.25,3941.0,0.15925,1146.5,137.5,170.25,1670.5,186.0,49.75,323.0,49.0,1564.75,51.25,30.0,,
Lehigh,110.5,10.0,,1382.75,594.25,3879.25,0.20325,1296.0,137.75,231.25,1600.0,146.5,82.25,330.0,43.75,1759.75,32.75,10.0,,
Liberty,116.5,29.0,,1478.0,629.25,4028.25,0.21049999999999996,1381.0,138.0,247.5,1717.25,144.75,54.25,450.0,48.5,1895.25,40.25,29.0,,
Lipscomb,106.5,25.0,,1508.75,631.0,3804.25,0.23099999999999998,1412.5,149.25,250.5,1520.0,91.0,52.5,271.25,71.25,1836.625,29.5,25.0,,
Little Rock,111.25,24.0,,1319.25,549.25,3908.0,0.19349999999999995,1221.5,130.25,192.75,1640.25,148.5,66.0,409.75,70.5,1720.375,48.25,24.0,,
LIU Brooklyn,103.5,,,1306.5,585.0,3870.0,0.186,1231.0,130.0,156.5,1775.0,130.0,55.5,340.5,53.0,1662.25,42.5,,,
LIU,109.5,11.0,,1290.0,592.0,3838.0,0.182,1208.0,147.5,193.0,1654.5,143.5,51.0,301.0,63.5,1602.0,48.0,11.0,,
LMU,109.33333333333333,16.0,,1477.0,617.0,3690.6666666666665,0.2333333333333333,1396.6666666666667,170.33333333333334,259.0,1465.3333333333333,120.33333333333333,34.666666666666664,343.3333333333333,51.333333333333336,1853.6666666666667,13.0,16.0,,
Long Beach St,112.25,13.0,,1444.0,554.25,3856.5,0.23024999999999998,1333.75,129.75,219.5,1602.25,133.0,55.5,398.5,65.5,1828.5,43.0,13.0,,
Louisiana Tech,106.25,23.0,,1263.5,570.0,3805.75,0.182,1167.25,127.25,174.0,1634.25,148.0,54.5,287.0,39.75,1530.0,33.0,23.0,,
Louisiana,116.0,9.0,,1430.0,572.75,4248.5,0.20174999999999998,1331.5,123.5,199.75,1915.0,126.25,85.0,302.25,55.5,1789.625,48.0,9.0,,
Louisville,115.75,21.0,,1522.25,638.0,3982.0,0.22174999999999995,1421.0,150.0,258.75,1624.25,119.75,55.0,428.75,56.25,1901.875,22.25,21.0,,
Loyola Chicago,115.25,14.0,,1424.0,636.0,4026.5,0.19374999999999992,1346.0,147.5,226.75,1694.25,163.0,61.5,369.5,62.5,1760.5,26.5,14.0,,
Loyola Maryland,110.25,9.0,,1381.75,657.25,4039.75,0.17725,1293.5,120.0,221.25,1756.0,157.0,43.5,327.0,41.75,1665.5,47.5,9.0,,
Loyola Marymount,112.0,,,1612.0,620.0,3753.0,0.264,1539.0,195.0,372.0,1460.0,110.0,35.0,269.0,59.0,1976.5,18.0,,,
