Cenário,Retirada de Outliers,Normalização,Feature Engineering,eps,min_samples,metric,algorithm,n_clusters_kmeans,init,max_iter,n_clusters_agg,linkage,Silhouette Index,Davies Bouldin
3,True,True,True,0.02,4.0,manhattan,brute,,,,,,0.9662043895554066,1.2919891279561415
3,True,True,True,0.02,4.0,cosine,auto,,,,,,,
3,True,True,True,0.02,4.0,cosine,brute,,,,,,,
3,True,True,True,0.02,5.0,euclidean,auto,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,euclidean,ball_tree,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,euclidean,kd_tree,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,euclidean,brute,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,manhattan,auto,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,manhattan,ball_tree,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,manhattan,kd_tree,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,manhattan,brute,,,,,,0.9552807966893988,1.3237345835638907
3,True,True,True,0.02,5.0,cosine,auto,,,,,,,
3,True,True,True,0.02,5.0,cosine,brute,,,,,,,
3,True,True,True,0.02,6.0,euclidean,auto,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,euclidean,ball_tree,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,euclidean,kd_tree,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,euclidean,brute,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,manhattan,auto,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,manhattan,ball_tree,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,manhattan,kd_tree,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,manhattan,brute,,,,,,0.9445407110044992,1.3884730739422346
3,True,True,True,0.02,6.0,cosine,auto,,,,,,,
3,True,True,True,0.02,6.0,cosine,brute,,,,,,,
3,True,True,True,0.02,7.0,euclidean,auto,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,euclidean,ball_tree,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,euclidean,kd_tree,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,euclidean,brute,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,manhattan,auto,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,manhattan,ball_tree,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,manhattan,kd_tree,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,manhattan,brute,,,,,,0.9280462373776506,1.2724121265469208
3,True,True,True,0.02,7.0,cosine,auto,,,,,,,
3,True,True,True,0.02,7.0,cosine,brute,,,,,,,
3,True,True,True,0.02,8.0,euclidean,auto,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,euclidean,ball_tree,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,euclidean,kd_tree,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,euclidean,brute,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,manhattan,auto,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,manhattan,ball_tree,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,manhattan,kd_tree,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,manhattan,brute,,,,,,0.91369655221261,1.2722097738229512
3,True,True,True,0.02,8.0,cosine,auto,,,,,,,
3,True,True,True,0.02,8.0,cosine,brute,,,,,,,
3,True,True,True,0.02,9.0,euclidean,auto,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,euclidean,ball_tree,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,euclidean,kd_tree,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,euclidean,brute,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,manhattan,auto,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,manhattan,ball_tree,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,manhattan,kd_tree,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,manhattan,brute,,,,,,0.902785786055456,1.285305328775408
3,True,True,True,0.02,9.0,cosine,auto,,,,,,,
3,True,True,True,0.02,9.0,cosine,brute,,,,,,,
3,True,True,True,0.023571428571428573,3.0,euclidean,auto,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,euclidean,ball_tree,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,euclidean,kd_tree,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,euclidean,brute,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,manhattan,auto,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,manhattan,ball_tree,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,manhattan,kd_tree,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,manhattan,brute,,,,,,-0.0346020110888703,1.5358514470780888
3,True,True,True,0.023571428571428573,3.0,cosine,auto,,,,,,,
3,True,True,True,0.023571428571428573,3.0,cosine,brute,,,,,,,
3,True,True,True,0.023571428571428573,4.0,euclidean,auto,,,,,,-0.0385755952132531,1.6313045297261193
3,True,True,True,0.023571428571428573,4.0,euclidean,ball_tree,,,,,,-0.0385755952132531,1.6313045297261193
3,True,True,True,0.023571428571428573,4.0,euclidean,kd_tree,,,,,,-0.0385755952132531,1.6313045297261193
